result_id,contest_id,country_id,total_points,ranking
RESULT085,CONT003,CTRY016,142,3
RESULT087,CONT003,CTRY032,99,3
RESULT088,CONT003,CTRY027,141,3
RESULT089,CONT003,CTRY002,155,9
RESULT090,CONT003,CTRY037,59,8
RESULT091,CONT003,CTRY039,57,14
RESULT092,CONT003,CTRY020,70,16
RESULT094,CONT003,CTRY000,130,14
RESULT095,CONT003,CTRY018,169,6
RESULT097,CONT003,CTRY013,169,4
RESULT098,CONT003,CTRY009,77,26
RESULT099,CONT003,CTRY026,155,1
RESULT103,CONT003,CTRY008,182,3
RESULT104,CONT004,CTRY008,80,18
RESULT105,CONT004,CTRY014,11,15
RESULT106,CONT004,CTRY037,107,4
RESULT107,CONT004,CTRY016,125,2
RESULT108,CONT004,CTRY024,83,20
RESULT109,CONT004,CTRY006,117,22
RESULT112,CONT004,CTRY010,105,17
RESULT113,CONT004,CTRY035,132,11
RESULT115,CONT004,CTRY034,186,10
RESULT116,CONT004,CTRY004,57,5
RESULT118,CONT004,CTRY021,86,25
RESULT119,CONT004,CTRY039,90,15
RESULT120,CONT004,CTRY018,176,2
RESULT125,CONT004,CTRY001,60,1
RESULT126,CONT004,CTRY000,189,5
RESULT128,CONT004,CTRY011,196,19
RESULT129,CONT004,CTRY028,43,22
RESULT130,CONT005,CTRY027,168,7
RESULT131,CONT005,CTRY010,55,8
RESULT132,CONT005,CTRY008,25,26
RESULT133,CONT005,CTRY012,82,24
RESULT134,CONT005,CTRY037,84,3
RESULT135,CONT005,CTRY033,87,12
RESULT136,CONT005,CTRY019,161,9
RESULT137,CONT005,CTRY031,10,6
RESULT139,CONT005,CTRY011,196,24
RESULT141,CONT005,CTRY021,112,1
RESULT142,CONT005,CTRY025,173,13
RESULT143,CONT005,CTRY029,8,2
RESULT144,CONT005,CTRY032,91,2
RESULT146,CONT005,CTRY004,164,7
RESULT150,CONT005,CTRY009,158,14
RESULT152,CONT005,CTRY013,172,21
RESULT153,CONT005,CTRY028,189,23
RESULT155,CONT005,CTRY034,132,23
RESULT156,CONT006,CTRY030,70,1
RESULT157,CONT006,CTRY003,181,22
RESULT158,CONT006,CTRY021,71,11
RESULT159,CONT006,CTRY034,67,5
RESULT160,CONT006,CTRY018,11,6
RESULT161,CONT006,CTRY004,79,10
RESULT162,CONT006,CTRY024,94,24
RESULT163,CONT006,CTRY033,130,4
RESULT167,CONT006,CTRY012,19,5
RESULT168,CONT006,CTRY016,79,1
RESULT169,CONT006,CTRY036,16,13
RESULT170,CONT006,CTRY023,78,14
RESULT171,CONT006,CTRY025,123,16
RESULT172,CONT006,CTRY019,13,2
RESULT173,CONT006,CTRY029,166,4
RESULT175,CONT006,CTRY038,26,3
RESULT177,CONT006,CTRY017,39,11
RESULT179,CONT006,CTRY001,165,19
RESULT180,CONT006,CTRY020,82,19
RESULT181,CONT006,CTRY032,12,5
RESULT182,CONT007,CTRY027,50,1
RESULT183,CONT007,CTRY028,102,4
RESULT184,CONT007,CTRY039,137,13
RESULT185,CONT007,CTRY017,113,14
RESULT186,CONT007,CTRY036,29,8
RESULT187,CONT007,CTRY024,83,7
RESULT188,CONT007,CTRY012,160,24
RESULT189,CONT007,CTRY034,192,17
RESULT190,CONT007,CTRY015,100,5
RESULT191,CONT007,CTRY000,198,5
RESULT194,CONT007,CTRY009,19,9
RESULT196,CONT007,CTRY025,9,2
RESULT197,CONT007,CTRY007,149,11
RESULT198,CONT007,CTRY003,163,8
RESULT203,CONT007,CTRY026,137,6
RESULT204,CONT007,CTRY005,13,2
RESULT207,CONT007,CTRY008,163,5
RESULT208,CONT008,CTRY000,77,21
RESULT209,CONT008,CTRY006,199,1
RESULT210,CONT008,CTRY026,160,4
RESULT211,CONT008,CTRY020,68,22
RESULT212,CONT008,CTRY022,91,24
RESULT214,CONT008,CTRY028,131,25
RESULT215,CONT008,CTRY032,74,2
RESULT217,CONT008,CTRY017,105,4
RESULT218,CONT008,CTRY021,121,25
RESULT219,CONT008,CTRY031,147,7
RESULT220,CONT008,CTRY033,75,9
RESULT221,CONT008,CTRY025,6,18
RESULT228,CONT008,CTRY011,76,8
RESULT229,CONT008,CTRY016,5,21
RESULT230,CONT008,CTRY030,16,6
RESULT231,CONT008,CTRY027,110,12
RESULT234,CONT009,CTRY000,156,13
RESULT235,CONT009,CTRY003,81,4
RESULT236,CONT009,CTRY024,122,26
RESULT237,CONT009,CTRY033,55,7
RESULT238,CONT009,CTRY028,194,6
RESULT239,CONT009,CTRY021,127,8
RESULT241,CONT009,CTRY026,169,20
RESULT243,CONT009,CTRY008,30,11
RESULT244,CONT009,CTRY018,90,14
RESULT246,CONT009,CTRY022,127,10
RESULT247,CONT009,CTRY004,93,11
RESULT251,CONT009,CTRY016,153,6
RESULT252,CONT009,CTRY020,180,17
RESULT253,CONT009,CTRY006,171,13
RESULT254,CONT009,CTRY009,37,10
RESULT255,CONT009,CTRY011,169,25
RESULT257,CONT009,CTRY019,59,10
RESULT260,CONT010,CTRY032,100,14
RESULT261,CONT010,CTRY037,143,26
RESULT262,CONT010,CTRY039,198,1
RESULT263,CONT010,CTRY030,190,6
RESULT264,CONT010,CTRY018,53,9
RESULT265,CONT010,CTRY000,181,19
RESULT266,CONT010,CTRY009,9,17
RESULT267,CONT010,CTRY012,34,14
RESULT269,CONT010,CTRY033,22,7
RESULT270,CONT010,CTRY026,84,9
RESULT271,CONT010,CTRY034,143,6
RESULT272,CONT010,CTRY027,94,24
RESULT273,CONT010,CTRY001,180,2
RESULT275,CONT010,CTRY014,77,26
RESULT276,CONT010,CTRY020,164,19
RESULT278,CONT010,CTRY002,58,8
RESULT279,CONT010,CTRY004,58,14
RESULT280,CONT010,CTRY028,44,25
RESULT282,CONT010,CTRY015,23,21
RESULT286,CONT011,CTRY039,17,8
RESULT287,CONT011,CTRY019,140,9
RESULT288,CONT011,CTRY017,88,22
RESULT289,CONT011,CTRY009,160,19
RESULT290,CONT011,CTRY013,189,18
RESULT291,CONT011,CTRY032,65,21
RESULT292,CONT011,CTRY026,137,21
RESULT293,CONT011,CTRY003,63,12
RESULT294,CONT011,CTRY011,149,6
RESULT295,CONT011,CTRY002,110,20
RESULT296,CONT011,CTRY021,99,16
RESULT298,CONT011,CTRY034,119,12
RESULT301,CONT011,CTRY014,74,3
RESULT302,CONT011,CTRY001,98,11
RESULT303,CONT011,CTRY038,120,23
RESULT305,CONT011,CTRY004,65,13
RESULT308,CONT011,CTRY037,186,11
RESULT309,CONT011,CTRY000,31,19
RESULT311,CONT011,CTRY027,190,9
RESULT312,CONT012,CTRY004,161,16
RESULT313,CONT012,CTRY038,146,25
RESULT314,CONT012,CTRY030,91,13
RESULT316,CONT012,CTRY031,72,12
RESULT317,CONT012,CTRY036,166,26
RESULT319,CONT012,CTRY008,160,21
RESULT320,CONT012,CTRY017,124,17
RESULT321,CONT012,CTRY021,68,2
RESULT322,CONT012,CTRY009,189,20
RESULT323,CONT012,CTRY035,156,14
RESULT325,CONT012,CTRY007,108,10
RESULT326,CONT012,CTRY013,16,4
RESULT327,CONT012,CTRY023,113,9
RESULT328,CONT012,CTRY024,0,16
RESULT329,CONT012,CTRY039,86,26
RESULT331,CONT012,CTRY033,41,8
RESULT332,CONT012,CTRY000,42,8
RESULT333,CONT012,CTRY019,19,13
RESULT334,CONT012,CTRY020,131,19
RESULT335,CONT012,CTRY002,170,23
RESULT336,CONT012,CTRY029,24,12
RESULT338,CONT013,CTRY022,144,10
RESULT339,CONT013,CTRY024,141,15
RESULT340,CONT013,CTRY031,18,25
RESULT341,CONT013,CTRY019,165,9
RESULT342,CONT013,CTRY032,73,25
RESULT343,CONT013,CTRY000,25,13
RESULT344,CONT013,CTRY036,58,14
RESULT345,CONT013,CTRY020,195,24
RESULT347,CONT013,CTRY014,70,22
RESULT349,CONT013,CTRY016,122,11
RESULT350,CONT013,CTRY001,98,7
RESULT351,CONT013,CTRY021,178,18
RESULT352,CONT013,CTRY037,14,19
RESULT353,CONT013,CTRY035,180,23
RESULT354,CONT013,CTRY002,151,23
RESULT355,CONT013,CTRY008,65,23
RESULT356,CONT013,CTRY027,143,14
RESULT358,CONT013,CTRY010,177,25
RESULT359,CONT013,CTRY039,124,21
RESULT361,CONT013,CTRY017,73,19
RESULT362,CONT013,CTRY009,6,18
RESULT364,CONT014,CTRY014,32,24
RESULT365,CONT014,CTRY005,151,8
RESULT366,CONT014,CTRY022,184,5
RESULT367,CONT014,CTRY033,32,10
RESULT368,CONT014,CTRY038,137,7
RESULT369,CONT014,CTRY008,103,23
RESULT370,CONT014,CTRY021,73,25
RESULT372,CONT014,CTRY017,163,16
RESULT373,CONT014,CTRY039,61,19
RESULT374,CONT014,CTRY001,51,5
RESULT375,CONT014,CTRY029,197,10
RESULT376,CONT014,CTRY012,7,4
RESULT377,CONT014,CTRY019,38,11
RESULT378,CONT014,CTRY009,108,16
RESULT379,CONT014,CTRY002,162,3
RESULT381,CONT014,CTRY006,191,21
RESULT382,CONT014,CTRY036,7,15
RESULT383,CONT014,CTRY028,147,21
RESULT385,CONT014,CTRY030,165,14
RESULT386,CONT014,CTRY018,149,7
RESULT387,CONT014,CTRY034,98,24
RESULT388,CONT014,CTRY027,181,21
RESULT390,CONT015,CTRY023,29,8
RESULT391,CONT015,CTRY039,142,11
RESULT393,CONT015,CTRY007,106,7
RESULT394,CONT015,CTRY019,96,22
RESULT395,CONT015,CTRY004,115,10
RESULT396,CONT015,CTRY032,117,14
RESULT397,CONT015,CTRY027,31,18
RESULT398,CONT015,CTRY017,153,11
RESULT399,CONT015,CTRY033,191,17
RESULT400,CONT015,CTRY010,96,24
RESULT401,CONT015,CTRY012,106,14
RESULT402,CONT015,CTRY000,105,8
RESULT405,CONT015,CTRY008,0,1
RESULT406,CONT015,CTRY038,35,14
RESULT407,CONT015,CTRY020,80,26
RESULT409,CONT015,CTRY025,100,13
RESULT412,CONT015,CTRY006,44,5
RESULT413,CONT015,CTRY036,8,10
RESULT414,CONT015,CTRY026,34,19
RESULT416,CONT016,CTRY015,34,19
RESULT417,CONT016,CTRY014,174,21
RESULT418,CONT016,CTRY010,178,8
RESULT419,CONT016,CTRY027,56,20
RESULT420,CONT016,CTRY001,68,20
RESULT421,CONT016,CTRY023,157,25
RESULT422,CONT016,CTRY035,150,25
RESULT423,CONT016,CTRY024,139,18
RESULT424,CONT016,CTRY039,10,26
RESULT425,CONT016,CTRY017,18,22
RESULT427,CONT016,CTRY029,185,14
RESULT428,CONT016,CTRY026,112,4
RESULT429,CONT016,CTRY030,108,12
RESULT430,CONT016,CTRY018,141,8
RESULT431,CONT016,CTRY033,56,22
RESULT432,CONT016,CTRY013,107,17
RESULT433,CONT016,CTRY006,124,3
RESULT434,CONT016,CTRY028,91,4
RESULT435,CONT016,CTRY012,158,13
RESULT436,CONT016,CTRY000,189,26
RESULT438,CONT016,CTRY025,24,21
RESULT439,CONT016,CTRY011,121,7
RESULT440,CONT016,CTRY037,115,23
RESULT442,CONT017,CTRY005,18,3
RESULT443,CONT017,CTRY023,83,1
RESULT445,CONT017,CTRY033,162,1
RESULT447,CONT017,CTRY029,70,26
RESULT448,CONT017,CTRY034,103,7
RESULT449,CONT017,CTRY032,30,16
RESULT450,CONT017,CTRY009,70,5
RESULT451,CONT017,CTRY018,75,13
RESULT453,CONT017,CTRY024,157,16
RESULT455,CONT017,CTRY021,54,6
RESULT456,CONT017,CTRY036,62,25
RESULT457,CONT017,CTRY019,198,25
RESULT458,CONT017,CTRY026,89,1
RESULT459,CONT017,CTRY039,16,4
RESULT460,CONT017,CTRY035,117,9
RESULT461,CONT017,CTRY037,77,18
RESULT462,CONT017,CTRY001,101,20
RESULT465,CONT017,CTRY015,78,18
RESULT466,CONT017,CTRY008,35,23
RESULT468,CONT018,CTRY009,13,18
RESULT469,CONT018,CTRY014,28,5
RESULT470,CONT018,CTRY030,140,13
RESULT471,CONT018,CTRY007,98,24
RESULT472,CONT018,CTRY028,63,9
RESULT473,CONT018,CTRY039,125,19
RESULT474,CONT018,CTRY032,192,7
RESULT475,CONT018,CTRY037,32,4
RESULT476,CONT018,CTRY001,97,5
RESULT478,CONT018,CTRY010,17,10
RESULT481,CONT018,CTRY036,200,7
RESULT482,CONT018,CTRY003,192,19
RESULT483,CONT018,CTRY002,91,25
RESULT484,CONT018,CTRY027,188,10
RESULT485,CONT018,CTRY020,164,26
RESULT486,CONT018,CTRY017,97,25
RESULT487,CONT018,CTRY034,156,15
RESULT490,CONT018,CTRY035,91,11
RESULT492,CONT018,CTRY029,194,9
RESULT494,CONT019,CTRY037,163,24
RESULT495,CONT019,CTRY020,46,19
RESULT496,CONT019,CTRY016,124,21
RESULT497,CONT019,CTRY004,175,6
RESULT498,CONT019,CTRY028,112,13
RESULT499,CONT019,CTRY026,96,23
RESULT500,CONT019,CTRY031,67,10
RESULT503,CONT019,CTRY012,155,13
RESULT505,CONT019,CTRY033,6,7
RESULT507,CONT019,CTRY034,140,4
RESULT509,CONT019,CTRY039,0,5
RESULT510,CONT019,CTRY002,45,24
RESULT512,CONT019,CTRY013,85,26
RESULT513,CONT019,CTRY029,87,19
RESULT514,CONT019,CTRY032,16,21
RESULT516,CONT019,CTRY022,184,1
